Name,Year,Rating,Genres,Actors,Plot,Poster_Path,Category,Source_URL
Harry Potter and the Philosopher's Stone,2001,80 / 100,"Fantasy, Adventure","Chris Columbus, Steve Kloves, Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton, Alan Rickman","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",posters/Harry_Potter_and_the_Philosopher's_Stone_2001.jpg,Movie,https://www.cinematerial.com/movies/harry-potter-and-the-philosophers-stone-i241527
The Matrix,1999,87 / 100,"Science Fiction, Action","Lilly Wachowski, Lana Wachowski, Lilly Wachowski, Lana Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",posters/The_Matrix_1999.jpg,Movie,https://www.cinematerial.com/movies/the-matrix-i133093
Harry Potter and the Deathly Hallows - Part 1,2010,78 / 100,"Fantasy, Adventure","David Yates, Steve Kloves, Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter, Alan Rickman","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",posters/Harry_Potter_and_the_Deathly_Hallows_-_Part_1_2010.jpg,Movie,https://www.cinematerial.com/movies/harry-potter-and-the-deathly-hallows-part-1-i926084
Inglourious Basterds,2009,89 / 100,"Thriller, War, Drama","Quentin Tarantino, Quentin Tarantino, Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger","In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",posters/Inglourious_Basterds_2009.jpg,Movie,https://www.cinematerial.com/movies/inglourious-basterds-i361748
Alien,1979,97 / 100,"Science Fiction, Horror","Ridley Scott, Dan O'Bannon, Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",posters/Alien_1979.jpg,Movie,https://www.cinematerial.com/movies/alien-i78748
Back to the Future,1985,96 / 100,"Comedy, Science Fiction, Adventure","Robert Zemeckis, Robert Zemeckis, Bob Gale, Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Claudia Wells, Thomas F. Wilson","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",posters/Back_to_the_Future_1985.jpg,Movie,https://www.cinematerial.com/movies/back-to-the-future-i88763
Blade Runner,1982,89 / 100,"Thriller, Science Fiction, Drama","Ridley Scott, Hampton Fancher, David Webb Peoples, Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",posters/Blade_Runner_1982.jpg,Movie,https://www.cinematerial.com/movies/blade-runner-i83658
Wonder Woman,2017,86 / 100,"Fantasy, Action, Adventure","Patty Jenkins, Allan Heinberg, Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston, David Thewlis",An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,posters/Wonder_Woman_2017.jpg,Movie,https://www.cinematerial.com/movies/wonder-woman-i451279
The Terminator,1984,100 / 100,"Thriller, Science Fiction, Action","James Cameron, James Cameron, Gale Anne Hurd, Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield, Lance Henriksen, Rick Rossovich","In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",posters/The_Terminator_1984.jpg,Movie,https://www.cinematerial.com/movies/the-terminator-i88247
Harry Potter and the Goblet of Fire,2005,88 / 100,"Fantasy, Adventure","Mike Newell, Steve Kloves, Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson, Michael Gambon, Robert Pattinson","When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",posters/Harry_Potter_and_the_Goblet_of_Fire_2005.jpg,Movie,https://www.cinematerial.com/movies/harry-potter-and-the-goblet-of-fire-i330373
