Name,Year,Rating,Genres,Actors,Plot,Poster_Path,Category,Source_URL
The Batman,2022,,"Thriller, Mystery, Crime","Matt Reeves, Matt Reeves, Peter Craig, Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano, John Turturro","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",posters/The_Batman_2022.jpg,Movie,https://www.cinematerial.com/movies/the-batman-i1877830
Jaws,1975,97 / 100,"Thriller, Adventure, Horror","Steven Spielberg, Carl Gottlieb, Peter Benchley, Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb","When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again.",posters/Jaws_1975.jpg,Movie,https://www.cinematerial.com/movies/jaws-i73195
Forrest Gump,1994,72 / 100,"Comedy, Drama, Romance","Robert Zemeckis, Eric Roth, Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson, Michael Conner Humphreys","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",posters/Forrest_Gump_1994.jpg,Movie,https://www.cinematerial.com/movies/forrest-gump-i109830
Parasite,2019,,"Comedy, Thriller, Drama","Bong Joon Ho, Bong Joon Ho, Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam","All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",posters/Parasite_2019.jpg,Movie,https://www.cinematerial.com/movies/parasite-i6751668
The Wizard of Oz,1939,99 / 100,"Fantasy, Adventure","Victor Fleming, Edgar Allan Woolf, Noel Langley, Florence Ryerson, Judy Garland, Ray Bolger, Jack Haley, Bert Lahr, Frank Morgan, Margaret Hamilton","Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",posters/The_Wizard_of_Oz_1939.jpg,Movie,https://www.cinematerial.com/movies/the-wizard-of-oz-i32138
The Hunger Games: Catching Fire,2013,89 / 100,"Science Fiction, Action, Adventure","Francis Lawrence, Michael Arndt, Simon Beaufoy, Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Donald Sutherland","After surviving the Hunger Games, Katniss and Peeta struggle with the consequences of their victory as unrest spreads across Panem. Forced back into the spotlight, they become symbols of hope and resistance while the Capitol prepares a new and deadly challenge that will change the future of the nation forever.",posters/The_Hunger_Games_Catching_Fire_2013.jpg,Movie,https://www.cinematerial.com/movies/the-hunger-games-catching-fire-i1951264
Once Upon a Time in Hollywood,2019,,"Comedy, Thriller, Drama","Quentin Tarantino, Quentin Tarantino, Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley, Timothy Olyphant","Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",posters/Once_Upon_a_Time_in_Hollywood_2019.jpg,Movie,https://www.cinematerial.com/movies/once-upon-a-time-in-hollywood-i7131622
XXX,2002,48 / 100,"Drama, Adventure, Thriller, Action, Crime","Rob Cohen, Rich Wilkes, Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson, Michael Roof, Richy Müller","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",posters/XXX_2002.jpg,Movie,https://www.cinematerial.com/movies/xxx-i295701
Justice League,2017,,"Science Fiction, Action, Adventure","Joss Whedon, Zack Snyder, Joss Whedon, Zack Snyder, Chris Terrio, Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller","Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",posters/Justice_League_2017.jpg,Movie,https://www.cinematerial.com/movies/justice-league-i974015
The Thing,1982,,"Science Fiction, Horror, Mystery","John Carpenter, Bill Lancaster, Kurt Russell, Keith David, Wilford Brimley, T.K. Carter, David Clennon, Richard Dysart",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,posters/The_Thing_1982.jpg,Movie,https://www.cinematerial.com/movies/the-thing-i84787
Ghostbusters,1984,97 / 100,"Comedy, Fantasy","Ivan Reitman, Dan Aykroyd, Harold Ramis, Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis, Annie Potts","After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",posters/Ghostbusters_1984.jpg,Movie,https://www.cinematerial.com/movies/ghostbusters-i87332
King Kong,2005,84 / 100,"Drama, Adventure, Action","Peter Jackson, Peter Jackson, Fran Walsh, Philippa Boyens, Naomi Watts, Adrien Brody, Jack Black, Andy Serkis, Colin Hanks, Thomas Kretschmann","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",posters/King_Kong_2005.jpg,Movie,https://www.cinematerial.com/movies/king-kong-i360717
Casino Royale,2006,95 / 100,"Thriller, Action, Adventure","Martin Campbell, Paul Haggis, Neal Purvis, Robert Wade, Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright, Giancarlo Giannini","Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",posters/Casino_Royale_2006.jpg,Movie,https://www.cinematerial.com/movies/casino-royale-i381061
The Godfather Part II,1974,97 / 100,"Drama, Crime","Francis Ford Coppola, Francis Ford Coppola, Mario Puzo, Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",posters/The_Godfather_Part_II_1974.jpg,Movie,https://www.cinematerial.com/movies/the-godfather-part-ii-i71562
Joker,2019,,"Thriller, Drama, Crime","Todd Phillips, Todd Phillips, Scott Silver, Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",posters/Joker_2019.jpg,Movie,https://www.cinematerial.com/movies/joker-i7286456
Top Gun,1986,54 / 100,"Drama, Action","Tony Scott, Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt, Michael Ironside","For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",posters/Top_Gun_1986.jpg,Movie,https://www.cinematerial.com/movies/top-gun-i92099
The Super Mario Bros. Movie,2023,,"Comedy, Fantasy, Adventure","Michael Jelenic, Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key, Seth Rogen","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",posters/The_Super_Mario_Bros._Movie_2023.jpg,Movie,https://www.cinematerial.com/movies/the-super-mario-bros-movie-i6718170
Terminator 2: Judgment Day,1991,93 / 100,"Thriller, Science Fiction, Action","James Cameron, James Cameron, William Wisher, Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen, Joe Morton","Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse.",posters/Terminator_2_Judgment_Day_1991.jpg,Movie,https://www.cinematerial.com/movies/terminator-2-judgment-day-i103064
Deadpool & Wolverine,2024,,"Comedy, Science Fiction, Action","Shawn Levy, Ryan Reynolds, Shawn Levy, Rhett Reese, Paul Wernick, Zeb Wells, Ryan Reynolds, Hugh Jackman, Matthew Macfadyen, Jon Favreau","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",posters/Deadpool_&_Wolverine_2024.jpg,Movie,https://www.cinematerial.com/movies/deadpool-wolverine-i6263850
Pacific Rim,2013,72 / 100,"Science Fiction, Action, Adventure","Guillermo del Toro, Guillermo del Toro, Travis Beacham, Charlie Hunnam, Rinko Kikuchi, Idris Elba, Max Martini, Clifton Collins Jr., Ron Perlman","Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.",posters/Pacific_Rim_2013.jpg,Movie,https://www.cinematerial.com/movies/pacific-rim-i1663662
Goodfellas,1990,96 / 100,"Drama, Crime","Martin Scorsese, Martin Scorsese, Nicholas Pileggi, Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",posters/Goodfellas_1990.jpg,Movie,https://www.cinematerial.com/movies/goodfellas-i99685
Prometheus,2012,73 / 100,"Science Fiction, Adventure, Mystery","Ridley Scott, Jon Spaihts, Damon Lindelof, Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba, Guy Pearce, Logan Marshall-Green","A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",posters/Prometheus_2012.jpg,Movie,https://www.cinematerial.com/movies/prometheus-i1446714
Twilight,2008,48 / 100,"Fantasy, Drama, Romance","Catherine Hardwicke, Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Ashley Greene, Jackson Rathbone","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.",posters/Twilight_2008.jpg,Movie,https://www.cinematerial.com/movies/twilight-i1099212
Aliens,1986,98 / 100,"Thriller, Science Fiction, Action","James Cameron, James Cameron, Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Lance Henriksen, Bill Paxton","Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",posters/Aliens_1986.jpg,Movie,https://www.cinematerial.com/movies/aliens-i90605
E.T. the Extra-Terrestrial,1982,98 / 100,"Fantasy, Science Fiction, Adventure","Steven Spielberg, Melissa Mathison, Henry Thomas, Drew Barrymore, Robert MacNaughton, Peter Coyote, Dee Wallace, Erika Eleniak","An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",posters/E.T._the_Extra-Terrestrial_1982.jpg,Movie,https://www.cinematerial.com/movies/et-the-extra-terrestrial-i83866
Rocky,1976,93 / 100,Drama,"John G. Avildsen, Sylvester Stallone, Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Thayer David","Rocky Balboa is a Philadelphia club fighter who seems to be going nowhere. But when a stroke of fate puts him in the ring with a world heavyweight champion, Rocky knows that it's his one shot at the big time — a once-in-a-lifetime opportunity to go the distance and come out a winner!",posters/Rocky_1976.jpg,Movie,https://www.cinematerial.com/movies/rocky-i75148
Die Hard,1988,92 / 100,"Thriller, Action","John McTiernan, Steven E. de Souza, Jeb Stuart, Bruce Willis, Alan Rickman, Alexander Godunov, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason","NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office's Christmas Party, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",posters/Die_Hard_1988.jpg,Movie,https://www.cinematerial.com/movies/die-hard-i95016
Se7en,1995,80 / 100,"Thriller, Mystery, Crime","David Fincher, Andrew Kevin Walker, Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie, Reg E. Cathey","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",posters/Se7en_1995.jpg,Movie,https://www.cinematerial.com/movies/se7en-i114369
Deadpool,2016,83 / 100,"Comedy, Action, Adventure","Tim Miller, Rhett Reese, Paul Wernick, Ryan Reynolds, Morena Baccarin, Ed Skrein, T.J. Miller, Gina Carano, Leslie Uggams","The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",posters/Deadpool_2016.jpg,Movie,https://www.cinematerial.com/movies/deadpool-i1431045
The Hunger Games,2012,84 / 100,"Thriller, Science Fiction, Action, Adventure","Gary Ross, Gary Ross, Billy Ray, Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Lenny Kravitz","In a dystopian society where the Capitol forces each district to send two young tributes to fight to the death in a televised spectacle, a girl volunteers to take her sister’s place, setting the stage for a struggle of survival and defiance.",posters/The_Hunger_Games_2012.jpg,Movie,https://www.cinematerial.com/movies/the-hunger-games-i1392170
Casablanca,1943,97 / 100,"Drama, Romance","Michael Curtiz, Howard Koch, Julius J. Epstein, Philip G. Epstein, Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet","In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",posters/Casablanca_1943.jpg,Movie,https://www.cinematerial.com/movies/casablanca-i34583
The Fifth Element,1997,71 / 100,"Science Fiction, Action, Adventure","Luc Besson, Luc Besson, Robert Mark Kamen, Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm, Chris Tucker, Luke Perry","In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",posters/The_Fifth_Element_1997.jpg,Movie,https://www.cinematerial.com/movies/the-fifth-element-i119116
Shrek,2001,88 / 100,"Comedy, Fantasy, Adventure","Andrew Adamson, Vicky Jenson, Roger S.H. Schulman, Terry Rossio, Ted Elliott, Joe Stillman, Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",posters/Shrek_2001.jpg,Movie,https://www.cinematerial.com/movies/shrek-i126029
300,2007,60 / 100,"War, Action, Adventure","Zack Snyder, Zack Snyder, Kurt Johnstad, Gerard Butler, Lena Headey, Dominic West, David Wenham, Vincent Regan, Michael Fassbender","Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",posters/300_2007.jpg,Movie,https://www.cinematerial.com/movies/300-i416449
Barbie,2023,,"Comedy, Adventure","Greta Gerwig, Greta Gerwig, Noah Baumbach, Margot Robbie, Ryan Gosling, America Ferrera, Issa Rae, Kate McKinnon","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",posters/Barbie_2023.jpg,Movie,https://www.cinematerial.com/movies/barbie-i1517268
The Grand Budapest Hotel,2014,92 / 100,"Comedy, Drama","Wes Anderson, Wes Anderson, Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe, Jeff Goldblum","The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",posters/The_Grand_Budapest_Hotel_2014.jpg,Movie,https://www.cinematerial.com/movies/the-grand-budapest-hotel-i2278388
How to Train Your Dragon,2010,98 / 100,"Fantasy, Adventure","Dean DeBlois, Chris Sanders, Dean DeBlois, Chris Sanders, William Davies, Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill","As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",posters/How_to_Train_Your_Dragon_2010.jpg,Movie,https://www.cinematerial.com/movies/how-to-train-your-dragon-i892769
The Amazing Spider-Man 2,2014,53 / 100,"Science Fiction, Action, Adventure","Marc Webb, Alex Kurtzman, Roberto Orci, Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Colm Feore, Felicity Jones","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",posters/The_Amazing_Spider-Man_2_2014.jpg,Movie,https://www.cinematerial.com/movies/the-amazing-spider-man-2-i1872181
The Wolf of Wall Street,2013,77 / 100,"Comedy, Drama, Crime","Martin Scorsese, Terence Winter, Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Rob Reiner","A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",posters/The_Wolf_of_Wall_Street_2013.jpg,Movie,https://www.cinematerial.com/movies/the-wolf-of-wall-street-i993846
The Maze Runner,2014,64 / 100,"Thriller, Science Fiction, Action, Mystery","Wes Ball, T.S. Nowlin, Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Will Poulter, Aml Ameen","A teenager with no memory of his past finds himself among a group of boys living in a walled enclosure surrounded by a massive, ever-changing maze. As he struggles to adapt to their rules and society, he begins to uncover clues that may lead to escape and the truth behind their confinement.",posters/The_Maze_Runner_2014.jpg,Movie,https://www.cinematerial.com/movies/the-maze-runner-i1790864
Watchmen,2009,65 / 100,"Science Fiction, Action, Mystery","Zack Snyder, David Hayter, Alex Tse, Malin Åkerman, Patrick Wilson, Billy Crudup, Matthew Goode, Jackie Earle Haley, Jeffrey Dean Morgan","In a gritty and alternate 1985, the glory days of costumed vigilantes have been brought to a close by a government crackdown. But after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so they uncover a sinister plot that puts all of humanity in grave danger.",posters/Watchmen_2009.jpg,Movie,https://www.cinematerial.com/movies/watchmen-i409459
Gone with the Wind,1939,94 / 100,"War, Drama, Romance","Victor Fleming, Sidney Howard, Vivien Leigh, Clark Gable, Olivia de Havilland, Leslie Howard, Hattie McDaniel, Thomas Mitchell",The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.,posters/Gone_with_the_Wind_1939.jpg,Movie,https://www.cinematerial.com/movies/gone-with-the-wind-i31381
The Goonies,1985,69 / 100,"Comedy, Adventure","Richard Donner, Chris Columbus, Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman, Kerri Green, Martha Plimpton","Young teen Mikey Walsh and his friends set off on a quest to find Pirate One-Eyed Willie's treasure in hopes of saving their homes from demolition. However, on their quest to find the treasure, they run into a family of recently escaped criminals, determined to capture the kids and reach the treasure first.",posters/The_Goonies_1985.jpg,Movie,https://www.cinematerial.com/movies/the-goonies-i89218
Saving Private Ryan,1998,92 / 100,"History, War, Drama","Steven Spielberg, Robert Rodat, Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel","As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",posters/Saving_Private_Ryan_1998.jpg,Movie,https://www.cinematerial.com/movies/saving-private-ryan-i120815
Dune: Part Two,2024,,"Science Fiction, Adventure","Denis Villeneuve, Denis Villeneuve, Jon Spaihts, Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin, Austin Butler","Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",posters/Dune_Part_Two_2024.jpg,Movie,https://www.cinematerial.com/movies/dune-part-two-i15239678
Grease,1978,78 / 100,"Comedy, Romance","Randal Kleiser, Bronté Woodard, Olivia Newton-John, John Travolta, Stockard Channing, Jeff Conaway, Barry Pearl, Michael Tucci","Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",posters/Grease_1978.jpg,Movie,https://www.cinematerial.com/movies/grease-i77631
Apocalypse Now,1979,97 / 100,"War, Drama","Francis Ford Coppola, Francis Ford Coppola, John Milius, Michael Herr, Martin Sheen, Marlon Brando, Frederic Forrest, Albert Hall, Laurence Fishburne, Sam Bottoms","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",posters/Apocalypse_Now_1979.jpg,Movie,https://www.cinematerial.com/movies/apocalypse-now-i78788
Psycho,1960,96 / 100,"Thriller, Mystery, Horror","Alfred Hitchcock, Joseph Stefano, Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam, John McIntire","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",posters/Psycho_1960.jpg,Movie,https://www.cinematerial.com/movies/psycho-i54215
The Matrix Reloaded,2003,73 / 100,"Thriller, Science Fiction, Action, Adventure","Lilly Wachowski, Lana Wachowski, Lilly Wachowski, Lana Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Gloria Foster","The Resistance builds in numbers as humans are freed from the Matrix and brought to the city of Zion. Neo discovers his superpowers, including the ability to see the code inside the Matrix. With machine sentinels digging to Zion in 72 hours, Neo, Morpheus and Trinity must find the Keymaker to ultimately reach the Source.",posters/The_Matrix_Reloaded_2003.jpg,Movie,https://www.cinematerial.com/movies/the-matrix-reloaded-i234215
Halloween,1978,92 / 100,"Thriller, Horror","John Carpenter, John Carpenter, Debra Hill, Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P. J. Soles, Charles Cyphers, Kyle Richards","Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",posters/Halloween_1978.jpg,Movie,https://www.cinematerial.com/movies/halloween-i77651
Star Trek,2009,95 / 100,"Science Fiction, Action, Adventure","J.J. Abrams, Alex Kurtzman, Roberto Orci, Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana, Bruce Greenwood, Karl Urban","The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",posters/Star_Trek_2009.jpg,Movie,https://www.cinematerial.com/movies/star-trek-i796366
La La Land,2016,,"Comedy, Drama, Romance","Damien Chazelle, Damien Chazelle, Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, Finn Wittrock, Callie Hernandez","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",posters/La_La_Land_2016.jpg,Movie,https://www.cinematerial.com/movies/la-la-land-i3783958
"""Stranger Things""",2016,,"Action & Adventure, Mystery, Sci-Fi & Fantasy","Winona Ryder, David Harbour, Millie Bobby Brown, Finn Wolfhard","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",posters/Stranger_Things_2016.jpg,TV Show,https://www.cinematerial.com/tv/stranger-things-i4574334
"""Game of Thrones""",2011,,"Action & Adventure, Drama, Sci-Fi & Fantasy","Peter Dinklage, Kit Harington, Nikolaj Coster-Waldau, Lena Headey, Emilia Clarke, Liam Cunningham","Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",posters/Game_of_Thrones_2011.jpg,TV Show,https://www.cinematerial.com/tv/game-of-thrones-i944947
"""Supernatural""",2005,,"Mystery, Drama, Sci-Fi & Fantasy","Jared Padalecki, Jensen Ackles, Misha Collins","When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way.",posters/Supernatural_2005.jpg,TV Show,https://www.cinematerial.com/tv/supernatural-i460681
"""The Walking Dead""",2010,,"Action & Adventure, Drama, Sci-Fi & Fantasy","Lauren Cohan, Norman Reedus, Jeffrey Dean Morgan, Melissa McBride, Christian Serratos, Seth Gilliam",Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,posters/The_Walking_Dead_2010.jpg,TV Show,https://www.cinematerial.com/tv/the-walking-dead-i1520211
